n,threads,time
1024,1,9.249000e-05
1024,2,1.010290e-04
1024,3,3.368630e-04
1024,4,7.321660e-03
1024,5,2.266030e-04
1024,6,2.476220e-04
1024,7,1.403400e-04
1024,8,2.673430e-03
2048,1,2.268600e-04
2048,2,1.089300e-02
2048,3,1.173960e-02
2048,4,1.374500e-02
2048,5,1.288960e-02
2048,6,2.764740e-04
2048,7,3.957710e-04
2048,8,3.504940e-04
4096,1,4.439950e-04
4096,2,4.943570e-03
4096,3,4.194640e-04
4096,4,8.918040e-04
4096,5,8.583300e-04
4096,6,4.253480e-04
4096,7,8.849860e-04
4096,8,1.229420e-02
8192,1,8.524130e-04
8192,2,8.594210e-04
8192,3,1.108830e-03
8192,4,8.569740e-03
8192,5,2.888420e-03
8192,6,9.600740e-04
8192,7,1.015470e-03
8192,8,1.960960e-03
16384,1,1.950580e-03
16384,2,1.969330e-03
16384,3,3.445340e-03
16384,4,2.509400e-03
16384,5,2.347710e-03
16384,6,2.799130e-03
16384,7,5.511620e-03
16384,8,3.083400e-03
32768,1,4.355580e-03
32768,2,3.016320e-03
32768,3,3.448240e-03
32768,4,3.567410e-03
32768,5,3.942520e-03
32768,6,3.333300e-03
32768,7,5.526380e-03
32768,8,4.936600e-03
65536,1,7.564150e-03
65536,2,7.406710e-03
65536,3,7.536140e-03
65536,4,6.775250e-03
65536,5,8.995040e-03
65536,6,7.955600e-03
65536,7,8.034170e-03
65536,8,8.379570e-03
131072,1,1.800770e-02
131072,2,7.286140e-03
131072,3,7.206930e-03
131072,4,1.477120e-02
131072,5,1.118400e-02
131072,6,9.057100e-03
131072,7,1.011500e-02
131072,8,1.750000e-02
262144,1,3.110220e-02
262144,2,1.524310e-02
262144,3,1.636220e-02
262144,4,2.021030e-02
262144,5,1.337190e-02
262144,6,1.156470e-02
262144,7,1.557580e-02
262144,8,1.319930e-02
524288,1,5.542340e-02
524288,2,3.261920e-02
524288,3,3.169830e-02
524288,4,2.789440e-02
524288,5,2.766710e-02
524288,6,2.011010e-02
524288,7,2.494590e-02
524288,8,2.240730e-02
1048576,1,1.125990e-01
1048576,2,5.938860e-02
1048576,3,6.016030e-02
1048576,4,4.385430e-02
1048576,5,4.842630e-02
1048576,6,4.550910e-02
1048576,7,4.245920e-02
1048576,8,4.386870e-02
2097152,1,2.425350e-01
2097152,2,1.306580e-01
2097152,3,1.083270e-01
2097152,4,9.520800e-02
2097152,5,7.143140e-02
2097152,6,8.750850e-02
2097152,7,7.275820e-02
2097152,8,7.532280e-02
4194304,1,4.814070e-01
4194304,2,2.513510e-01
4194304,3,2.472680e-01
4194304,4,2.022600e-01
4194304,5,2.077480e-01
4194304,6,1.669830e-01
4194304,7,1.808900e-01
4194304,8,1.512980e-01
8388608,1,1.001900e+00
8388608,2,5.204620e-01
8388608,3,5.674910e-01
8388608,4,4.298180e-01
8388608,5,4.341420e-01
8388608,6,3.317090e-01
8388608,7,3.316340e-01
8388608,8,3.057580e-01
16777216,1,2.032640e+00
16777216,2,1.110030e+00
16777216,3,1.211570e+00
16777216,4,1.009520e+00
16777216,5,9.104520e-01
16777216,6,7.502970e-01
16777216,7,7.220180e-01
16777216,8,6.167830e-01
33554432,1,4.200190e+00
33554432,2,2.302680e+00
33554432,3,1.972270e+00
33554432,4,1.650490e+00
33554432,5,1.759490e+00
33554432,6,1.572540e+00
33554432,7,1.367800e+00
33554432,8,1.213690e+00
67108864,1,8.739640e+00
67108864,2,4.848370e+00
67108864,3,4.704820e+00
67108864,4,3.464900e+00
67108864,5,3.733310e+00
67108864,6,2.775670e+00
67108864,7,2.941380e+00
67108864,8,2.329280e+00
134217728,1,1.853300e+01
134217728,2,1.022670e+01
134217728,3,8.224130e+00
134217728,4,8.758070e+00
134217728,5,7.725840e+00
134217728,6,6.467060e+00
134217728,7,6.090300e+00
134217728,8,5.046790e+00
268435456,1,3.908220e+01
268435456,2,2.130630e+01
268435456,3,2.332060e+01
268435456,4,1.554040e+01
268435456,5,1.736480e+01
268435456,6,1.281190e+01
268435456,7,1.205240e+01
268435456,8,1.265290e+01
536870912,1,8.314060e+01
536870912,2,4.840740e+01
536870912,3,4.806180e+01
536870912,4,3.453130e+01
536870912,5,3.521240e+01
536870912,6,2.880530e+01
536870912,7,2.995860e+01
536870912,8,2.758890e+01
